Ch.,B,A,x0,y0,Ra_1,Dec_1,FWHMx,FWHMy,Mag_1,Beta,r,Angle,RMSE,main_id,ra_x,dec_x,coo_err_maj,coo_err_min,coo_err_angle,otype,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx_1,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B_x,V,R_x,J,H,K,u,g,r_xa,i,z,angDist,Ra_2,Dec_2,Mag_2,ABS_Mag,luminosity,Mass,Plx_2,PM,RV,plx_in_arsec,distnace_from_earth,Separation,plx_arsec,distance_from_earth,TV,True_Velocity,velocity_dispersion,Log(Velocity Dispersion),L_size,Log(L_size),Log(Mass),average VD
1,85.1533,270.922,297.599,337.918,251.761,-45.8524,8.369,6.51515,-10.6347,-1,0.778485,40.6886,35.435,Cl* Westerlund    1      W      23a,251.7607401,-45.85247286,0,0,90,s*b,20,16 47 02.57763,-45 51 08.9023,A,2020yCat.1350....0G,BlueSG,*|**|NIR|s*b|SB*|V*,-50.78,0.52,-1.69E-04,1.70E-06,B2Ia+B:I?,,0.1635,0.0535,-2.317,-3.298,0.072,0.058,90,,,,22.1,18.316,14.986,8.92,7.882,7.351,,,,,,0.703797,251.761,-45.8524,-10.6347,-23.64499978,2.45E+11,1795.914632,0.1635,4.031,,1.64E-04,6116.208,0.703796457,1.64E-04,6116.207951,116.8620239,127.4179787,6.936346913,0.841130806,53.47568325,1.728156342,3.254285689,
1,28.3981,226.419,327.441,136.534,251.757,-45.8328,8.79418,7.62562,-10.6154,-1,0.86712,-37.5165,14.1355,Cl* Westerlund    1      W      78,251.7564584,-45.83275638,0,0,90,s*b,14,16 47 01.55001,-45 49 57.9230,A,2020yCat.1350....0G,BlueSG,*|NIR|s*b|V*,-45.99,0.61,-1.53E-04,2.00E-06,B1Ia,,0.1485,0.049,-1.984,-3.474,0.06,0.052,90,,,,21,17.413,14.621,9.24,8.377,7.887,,,,,,1.377775,,,,,,,,,,,,,1.49E-04,6734.006734,,,,,,,,
1,84.812,247.554,307.476,277.031,251.759,-45.8465,7.26433,6.38937,-10.6116,-1,0.879555,-39.9106,35.5197,Cl* Westerlund    1      W      11,251.7593292,-45.8464407,0,0,90,s*b,19,16 47 02.23902,-45 50 47.1865,A,2020yCat.1350....0G,BlueSG,*|s*b|V*,,,,,B2Ia,,0.1438,0.052,-2.48,-4.007,0.064,0.056,90,,,,21.2,17.508,14.599,,,,,,,,,0.846615,251.759,-45.8465,-10.6116,-23.62189988,2.40E+11,1785.030744,0.1438,4.712,,1.44E-04,6954.1025,0.846614572,1.44E-04,6954.102921,155.319055,,,,,,3.2516457,
1,105.876,242.708,274.823,241.35,251.764,-45.843,5.84483,5.84414,-10.52,-1,0.999881,-77.4319,42.2996,Cl* Westerlund    1      W      10,251.763919,-45.84294537,0,0,90,s*b,20,16 47 03.34056,-45 50 34.6033,A,2020yCat.1350....0G,BlueSG,*|NIR|s*b|SB*|V*|X,-58.16,1.24,-1.94E-04,4.10E-06,O9.5/B0.5Iae,,0.1368,0.0629,-1.989,-3.421,0.075,0.065,90,,,,22.72,18.516,15.257,9.378,,,,,,,,0.29312,251.764,-45.843,-10.52,-23.53030041,2.21E+11,1742.517668,0.1368,3.957,,1.37E-04,7309.941,0.293119801,1.37E-04,7309.94152,137.1065823,148.9321906,8.061052586,0.906391754,57.62470952,1.760608749,3.24117719,
1,78.1161,247.588,181.88,216.98,251.777,-45.8406,6.72189,6.1614,-10.3207,-1,0.916617,-40.9966,33.9054,Cl* Westerlund    1      W      13,251.776892,-45.84057572,0,0,90,WR*,40,16 47 06.45408,-45 50 26.0726,A,2020yCat.1350....0G,WolfRayet*,*|**|EB*|LP?|NIR|s*b|SB*|V*|WR*|X,-48.2,9.45,-1.61E-04,3.15E-05,WNL/BIa+,,0.094,0.0516,-2.497,-4.112,0.069,0.06,90,,,,21.1,17.19,14.63,9.051,,,,,,,,0.266428,251.777,-45.8406,-10.3207,-23.33099965,1.84E+11,1653.483859,0.094,4.811,,9.40E-05,10638.299,0.266427867,9.40E-05,10638.29787,242.597238,247.339181,,1.060843098,67.44409916,1.828943958,3.21839996,
1,21.3917,231.872,28.2009,36.3971,251.798,-45.823,7.36114,6.62123,-10.2688,-1,0.899484,-89.5793,16.9981,[RCN2009] W3003,251.7983638,-45.82291073,0,0,90,V*,16,16 47 11.60732,-45 49 22.4786,A,2020yCat.1350....0G,Variable*,*|MIR|NIR|SB*|V*,-35.53,1.02,-1.19E-04,3.40E-06,B0Ib,,0.1461,0.0951,-2.202,-4.099,0.116,0.101,90,,,,23.1,19.08,16.211,10.058,8.898,8.247,,,,,,0.960161,251.798,-45.823,-10.2688,-23.27909974,1.75E+11,1631.054758,0.1461,4.653,24.28,1.46E-04,6844.6265,0.960160691,1.46E-04,6844.626968,150.9597473,155.0845668,7.419661951,0.870384119,55.33549018,1.743003761,3.212468542,
1,46.1372,237.188,243.171,562.769,251.768,-45.8744,7.18298,6.26342,-10.2003,-1,0.871981,-41.0873,19.0905,Cl* Westerlund    1      W     238,251.7684432,-45.87438563,0,0,90,s*b,18,16 47 04.42636,-45 52 27.7883,A,2020yCat.1350....0G,BlueSG,*|s*b|V*,-43.46,0.84,-1.45E-04,2.80E-06,B1Iab,,0.4959,0.1937,-3.255,-4.901,0.24,0.193,90,,,,21.4,17.82,14.98,,,,,,,,,1.098701,,,,,,,,,,,,,4.96E-04,2016.535592,,,,,,,,
1,21.6413,235.503,270.421,33.0178,251.765,-45.8227,6.95688,6.45332,-10.1974,-1,0.927617,-24.2066,13.3668,[CRN2020] W1039,251.7645799,-45.8227012,0,0,90,s*b,7,16 47 03.49919,-45 49 21.7243,A,2020yCat.1350....0G,BlueSG,*|C*?|LP?|s*b,-45.52,0.7,-1.52E-04,2.30E-06,B1Ia,,0.2423,0.1077,-1.916,-4.105,0.132,0.115,90,,,,,,,,,,,,,,,1.052286,,,,,,,,,,,,,2.42E-04,4127.115147,,,,,,,,
1,29.2293,229.675,421.069,402.52,251.743,-45.8587,7.00341,6.06065,-10.1081,-1,0.865385,-44.9407,12.569,Cl* Westerlund    1      W      55,251.7434188,-45.85869282,0,0,90,s*b,19,16 46 58.42051,-45 51 31.2942,A,2020yCat.1350....0G,BlueSG,*|MIR|NIR|s*b|V*,-47.85,1.27,-1.60E-04,4.20E-06,B0Ia,,0.1721,0.0489,-2.333,-3.849,0.064,0.052,90,,,,21.6,18.03,15.283,10.046,9.224,8.74,,,,,,1.059752,,,,,,,,,,,,,1.72E-04,5810.575247,,,,,,,,
1,39.5527,236.792,194.012,507.187,251.775,-45.869,6.34973,6.34969,-10.0814,-1,0.999993,-84.1599,24.5897,Cl* Westerlund    1     CN      E,251.775278,-45.86896285,0,0,90,WR*,25,16 47 06.06671,-45 52 08.2662,A,2020yCat.1350....0G,WolfRayet*,*|LP?|V*|WR*|X,-78.74,2.16,-2.63E-04,7.20E-06,WC9,,0.9142,0.254,-6.872,-5.08,0.319,0.244,90,,,,,18.379,15.675,10.12,,,,,,,,0.724174,251.775,-45.869,-10.0814,-23.09169987,1.47E+11,1552.570801,0.9142,8.546,,9.14E-04,1093.8525,0.724174571,9.14E-04,1093.852549,44.30981976,90.35124622,6.581867832,0.818349157,52.02731848,1.716231443,3.191051414,
