INDEX,ra,RA,dec,DEC,Luminosity,Mass_UMS,Mass_Luminosity,Log (M/L),Angular_Seperation
530311,83.63552443081427,83.63552,-68.83127231592252,-68.831276,1884.4207635592384,8.625119260454714,0.004577066559256035,-2.339412772058731,0.8364488762983947
530311,83.6450446308095,83.64504,-68.83069862285909,-68.830696,237.23847780701445,4.771163754194477,0.02011125597457112,-1.6965608062907342,0.8319612030341527
530311,83.6037607765508,83.60376,-68.8345216336296,-68.83452,156.93576653796944,4.239836640728216,0.027016382143215383,-1.5683728092901763,0.8506949848400042
530311,83.62818217739239,83.62818,-68.84126593110867,-68.84126,165.70706020347257,4.306232081909008,0.025987016344514006,-1.585243580425779,0.837648318536463
530311,83.62614111354611,83.626144,-68.84082456674413,-68.84083,290.33559122207737,5.054588368446569,0.017409468633076818,-1.7592144840948636,0.8387291851204426
530311,83.59805802051025,83.59806,-68.84151279758396,-68.841515,224.08878101195063,4.694059649228451,0.02094732109314351,-1.678871510113279,0.8517572142317446
530311,83.64834252006949,83.648346,-68.83971333405667,-68.839714,354.37587700414053,5.350795200690227,0.01509920834884511,-1.821045822159875,0.828185139703328
530311,83.09971670970594,83.09972,-69.23062454707767,-69.23062,231.92063698395452,4.740359246299047,0.020439574968169002,-1.6895281394031783,0.9589333394037215
530311,83.10081103155947,83.100815,-69.2352251931731,-69.23522,259.59507984006245,4.8955217870629,0.018858299587492373,-1.7244974692371628,0.958943306333552
530311,83.10085005145444,83.10085,-69.24499671962046,-69.244995,276.7896525360616,4.986055405784858,0.018013879348814342,-1.744392750347654,0.9591607320593837
530311,83.10005829804426,83.10006,-69.25575654158251,-69.25576,187.55976854496103,4.461372462752158,0.02378640418125008,-1.6236712058094285,0.9595100454729698
530311,83.07321037170634,83.07321,-69.23458692467119,-69.23459,464.76130140584195,5.78183511771561,0.01244044007155139,-1.9051642565209241,0.9605918465153173
530311,83.07194984058759,83.07195,-69.23638995933375,-69.23639,834.645466130018,6.834627790895454,0.008188659818144607,-2.0867871704264767,0.960687996582454
530311,83.28484044783647,83.28484,-69.1772665849565,-69.17727,8959.5592439746,13.465570433016389,0.001502927774273286,-2.823061889664758,0.9300633471485732
530311,83.06563916810599,83.065636,-69.23820472687638,-69.238205,184.8412506551416,4.442800663933536,0.02403576392275375,-1.619142070241627,0.9610038365354052
530311,83.0782566456179,83.078255,-69.23667850574313,-69.23668,1206.550137721535,7.593491922431193,0.006293556881747858,-2.2011038382557175,0.9603810485821249
530311,83.28171508462295,83.281715,-69.1770388815021,-69.17704,364.5624131247007,5.394296646875186,0.014796634136361269,-1.8298370644868838,0.930797962254833
530311,83.07392016024431,83.07392,-69.2399976493851,-69.24,1311.5147281265763,7.77664608841523,0.0059295148743954435,-2.2269808371570847,0.9606713206788284
530311,83.29008046736084,83.29008,-69.18173356329825,-69.18173,315.10739603457114,5.1742250403925505,0.016420512833106825,-1.7846132834461472,0.9287999519828284
530311,83.06117616336287,83.06117,-69.24173037475741,-69.24173,635.1953304505806,6.321653040681979,0.009952297722651183,-2.0020766405541273,0.9612569612240462
530311,83.0712807371074,83.07128,-69.24541174147312,-69.245415,314.95409733686716,5.173505703043239,0.01642622130268648,-1.784462330425779,0.9609232134734615
530311,83.29618478884812,83.29619,-69.1888039892837,-69.188805,169.07601758555285,4.331066579334555,0.02561609056791881,-1.5914871499361027,0.9273134409302376
530311,83.27973159894478,83.27973,-69.19242310154456,-69.19242,396.1075770911006,5.523728556154262,0.013945021190250704,-1.8555808214623302,0.9312481914515108
530311,83.0708507717379,83.070854,-69.25441717330328,-69.25442,168.74605216130456,4.328649915891526,0.025651858875808033,-1.5908811580276203,0.9611830962751183
530311,83.06449802993605,83.0645,-69.25128597708995,-69.25129,684.3087841892736,6.457613272315308,0.009436694985533301,-2.0251800820650088,0.9613681553404445
530311,83.06647499504626,83.066475,-69.25094090121827,-69.25094,245.56959854165723,4.818446359502848,0.019621510105964808,-1.707267571601839,0.9612777539995708
530311,83.06787410983029,83.06787,-69.25013568802987,-69.25014,412.66682587607977,5.58874326220946,0.013542991371658528,-1.8682853982271184,0.961196639767788
530311,83.0770068556405,83.077,-69.249308041197,-69.249306,649.8913677678368,6.363100622612735,0.009791021912581936,-2.0091719774681898,0.9607439909192093
530311,83.29340278044943,83.2934,-69.1961941902054,-69.1962,182.21462458885804,4.424670379707751,0.024282740146085446,-1.614702307581192,0.9280194479256094
530311,83.29901927793868,83.29902,-69.19582803962912,-69.19583,220.05156102715483,4.669740003406409,0.02122111736726173,-1.6732317526844283,0.9266371927287164
530311,83.41928530479944,83.41929,-69.29836368489882,-69.29836,271.30397410096555,4.957619453080874,0.01827330200196736,-1.7381829681559686,0.8943271880157209
530311,83.41461007026987,83.41461,-69.3032151382272,-69.303215,231.14173353631327,4.735805078267357,0.02048874950366046,-1.688484547222654,0.8962624059853624
530311,83.41802685942295,83.41803,-69.30646355955443,-69.306465,2168.575309106942,8.978271139891374,0.004140170323892873,-2.3829817919213143,0.8953168353273333
530311,83.41581337160092,83.41581,-69.31327037477978,-69.31327,495.1745783885113,5.887500464784032,0.011889747013960662,-1.9248273860549643,0.8965695144710438
530311,83.41832452709379,83.41833,-69.31066529830817,-69.31067,2162.4448078259993,8.971012000816454,0.004148550736809513,-2.3821035941150925,0.8955165490629343
530311,83.41514724288591,83.415146,-69.31016026702358,-69.31016,150.23452702153895,4.187301333596162,0.02787176434479561,-1.5548355386079775,0.8965688436446977
530311,83.6063868111638,83.606384,-69.42722965830535,-69.42723,244.3556290652806,4.8116286199816845,0.019691089738293848,-1.705730248603792,0.832392698500064
530311,83.59915826836682,83.59916,-69.42785590128393,-69.42786,272.52013742179605,4.963958833676483,0.0182150166246007,-1.7395704280471516,0.8358854960075489
530311,83.6010686586004,83.60107,-69.43050737382129,-69.430504,2101.006926422317,8.897438513805588,0.00423484492217097,-2.3731624886812197,0.8354626105409166
530311,83.59998729347613,83.59999,-69.43558047118516,-69.43558,324.58684254164945,5.218228801468509,0.01607652596330651,-1.793807793769808,0.8368709243468188
530311,83.35618676605891,83.356186,-69.1886566020723,-69.18866,340.50125939652605,5.290083074366741,0.015536163019609417,-1.8086562303978773,0.9109832592953165
530311,83.35428841654509,83.35429,-69.19139876945208,-69.1914,162.11277478547947,4.2793356734138195,0.02639727608806016,-1.578440885287665,0.9115576175376999
530311,83.35632401463577,83.35632,-69.1928474530632,-69.19285,410.5013161145327,5.580348230983367,0.013593983775258863,-1.866653252754183,0.9109587267015098
530311,83.6645486816188,83.66455,-69.47747820779234,-69.47748,372.4267281700547,5.427290868305185,0.014572774878356788,-1.836457744069752,0.8143868598661739
530311,83.66838880274705,83.66839,-69.48261392850974,-69.48261,284.5919453956638,5.025814539483178,0.017659721649872645,-1.7530161459949756,0.8136620498376255
530311,83.3549808842368,83.35498,-69.19433945753482,-69.194336,170.28563697251172,4.339897113653366,0.025485984554022793,-1.5936985844366605,0.9113667436067809
530311,83.34730535472906,83.347305,-69.19635168188279,-69.19635,366.2410133269835,5.401381474375515,0.014748161122940947,-1.8312621263939708,0.9136343030653344
530311,83.34786765446607,83.34787,-69.19857538317295,-69.19858,164.61236027447998,4.29808483654199,0.02611034086003763,-1.583187458599607,0.9134870137101552
530311,83.38810830440968,83.38811,-69.3126613905443,-69.31266,2074.8858589642937,8.865691839138558,0.004272857613268416,-2.3692815791701984,0.9056711408395959
